# Residuals   
# Time        	Ux            	Uy            	Uz            	p             	k             	omega         
0             	N/A           	N/A           	N/A           	N/A           	N/A           	N/A           
50            	6.916953e-03	8.268047e-03	8.536631e-03	3.142903e-02	9.516799e-03	2.963520e-03
100           	1.156693e-03	1.681668e-03	1.710441e-03	2.109937e-03	1.636217e-03	9.328241e-04
150           	6.809202e-05	1.189424e-04	1.083764e-04	1.073030e-03	2.664147e-04	7.349688e-04
200           	1.394801e-05	3.179399e-05	2.690005e-05	6.397550e-04	1.954638e-04	5.524432e-04
250           	6.177939e-06	1.668553e-05	1.419853e-05	5.806896e-04	1.840830e-04	5.483751e-04
300           	5.967198e-06	1.514757e-05	1.366813e-05	5.301512e-04	1.884777e-04	6.625779e-04
350           	6.801750e-06	1.742701e-05	1.530548e-05	6.321307e-04	1.848367e-04	5.516220e-04
400           	5.415397e-06	1.494957e-05	1.253441e-05	5.417627e-04	1.783260e-04	5.890331e-04
450           	7.297067e-06	1.806597e-05	1.516337e-05	6.286219e-04	1.804263e-04	6.406915e-04
500           	6.940097e-06	1.737872e-05	1.505552e-05	5.390109e-04	2.118333e-04	5.707645e-04
550           	6.810051e-06	1.733419e-05	1.518790e-05	5.721573e-04	1.710095e-04	5.866648e-04
600           	6.223067e-06	1.763816e-05	1.460914e-05	6.866934e-04	1.897761e-04	6.073843e-04
