# y+ ()       
# Time        	patch         	min           	max           	average       
0             	top	0.000000e+00	0.000000e+00	0.000000e+00
0             	bottom	0.000000e+00	0.000000e+00	0.000000e+00
0             	side1	0.000000e+00	0.000000e+00	0.000000e+00
0             	side2	0.000000e+00	0.000000e+00	0.000000e+00
0             	corpo	2.629987e-01	1.801787e+01	3.546930e+00
50            	top	1.059697e-02	6.411992e+00	2.261276e+00
50            	bottom	2.049319e-02	6.441688e+00	2.140047e+00
50            	side1	1.811476e-02	5.308467e+00	1.937627e+00
50            	side2	1.730950e-02	8.598098e+00	2.213112e+00
50            	corpo	1.387447e-01	1.365442e+02	1.970785e+01
100           	top	1.531984e-02	6.455823e+00	2.515160e+00
100           	bottom	3.580120e-02	6.493067e+00	2.371835e+00
100           	side1	2.488197e-03	5.357887e+00	2.139852e+00
100           	side2	1.269996e-02	8.636023e+00	2.304752e+00
100           	corpo	1.012479e-01	1.303990e+02	1.967198e+01
150           	top	4.953086e-02	6.459706e+00	2.466869e+00
150           	bottom	2.095887e-02	6.495318e+00	2.335668e+00
150           	side1	4.042240e-02	5.360063e+00	2.077900e+00
150           	side2	1.881711e-02	8.639273e+00	2.286640e+00
150           	corpo	1.017336e-01	1.295593e+02	1.965384e+01
200           	top	9.065757e-02	6.460455e+00	2.465345e+00
200           	bottom	6.913344e-02	6.495730e+00	2.335238e+00
200           	side1	5.017066e-02	5.360448e+00	2.076132e+00
200           	side2	1.926281e-02	8.639955e+00	2.284529e+00
200           	corpo	1.014485e-01	1.293518e+02	1.966494e+01
250           	top	9.466285e-02	6.460686e+00	2.465082e+00
250           	bottom	4.840917e-02	6.495768e+00	2.334871e+00
250           	side1	2.544612e-02	5.360512e+00	2.076043e+00
250           	side2	2.308898e-02	8.640121e+00	2.283937e+00
250           	corpo	1.015495e-01	1.293323e+02	1.965781e+01
300           	top	9.261198e-02	6.460690e+00	2.465015e+00
300           	bottom	4.097236e-02	6.495789e+00	2.334801e+00
300           	side1	4.357835e-02	5.360537e+00	2.076018e+00
300           	side2	1.157570e-02	8.640157e+00	2.283777e+00
300           	corpo	1.013996e-01	1.293730e+02	1.964560e+01
350           	top	9.450041e-02	6.460711e+00	2.465007e+00
350           	bottom	4.677120e-02	6.495804e+00	2.334802e+00
350           	side1	4.300864e-02	5.360554e+00	2.076015e+00
350           	side2	1.779309e-02	8.640155e+00	2.283735e+00
350           	corpo	1.015817e-01	1.293491e+02	1.966467e+01
400           	top	9.340509e-02	6.460686e+00	2.465023e+00
400           	bottom	3.397101e-02	6.495807e+00	2.334838e+00
400           	side1	3.976714e-02	5.360553e+00	2.076037e+00
400           	side2	1.325795e-02	8.640152e+00	2.283758e+00
400           	corpo	1.014468e-01	1.293215e+02	1.966897e+01
450           	top	9.433039e-02	6.460733e+00	2.465025e+00
450           	bottom	3.033200e-02	6.495879e+00	2.334854e+00
450           	side1	4.910916e-02	5.360587e+00	2.076054e+00
450           	side2	7.300798e-03	8.640197e+00	2.283763e+00
450           	corpo	1.016047e-01	1.293551e+02	1.965108e+01
500           	top	9.211764e-02	6.460717e+00	2.465017e+00
500           	bottom	4.438307e-02	6.495806e+00	2.334852e+00
500           	side1	3.678056e-02	5.360546e+00	2.076042e+00
500           	side2	1.327994e-02	8.640202e+00	2.283769e+00
500           	corpo	1.014653e-01	1.293113e+02	1.967060e+01
550           	top	9.212318e-02	6.460742e+00	2.465025e+00
550           	bottom	4.503572e-02	6.495827e+00	2.334876e+00
550           	side1	3.340327e-02	5.360575e+00	2.076065e+00
550           	side2	6.947959e-03	8.640202e+00	2.283769e+00
550           	corpo	1.016334e-01	1.293293e+02	1.966822e+01
600           	top	9.306632e-02	6.460717e+00	2.465005e+00
600           	bottom	5.325631e-02	6.495828e+00	2.334870e+00
600           	side1	2.894393e-02	5.360531e+00	2.076060e+00
600           	side2	1.613292e-02	8.640193e+00	2.283754e+00
600           	corpo	1.014963e-01	1.293777e+02	1.965333e+01
